INFO  - 2017-02-06 12:48:04.207; org.apache.solr.core.SolrCore; [mindliner_core_dev] webapp=/solr path=/select params={q=*:*&fl=id,+modification,+dtype,+lifetime&fq=%2Bclevel:[*+TO+100]&fq=client_id:(1+3+5+11+12+28+37+53+61+67+72+74+79+80+82+84+88+113+121)&fq=+%2B(private:false+owner_id:1)&fq=archived:false&sort=modification+desc,+score+desc&rows=100&wt=javabin&version=2} hits=15999 status=0 QTime=194 
INFO  - 2017-02-10 07:36:24.134; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2017-02-10 07:36:24.135; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr-webapp/webapp/},/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/webapps/solr.war
INFO  - 2017-02-10 07:36:25.137; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1201173334
INFO  - 2017-02-10 07:36:25.138; org.apache.solr.core.SolrCore; [mindliner_core]  CLOSING SolrCore org.apache.solr.core.SolrCore@642b4bc1
INFO  - 2017-02-10 07:36:25.139; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=5734,transaction_logs_total_number=10}
INFO  - 2017-02-10 07:36:25.140; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2017-02-10 07:36:25.140; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2017-02-10 07:36:25.140; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2017-02-10 07:36:25.147; org.apache.solr.core.SolrCore; [mindliner_core] Closing main searcher on request.
INFO  - 2017-02-10 07:36:25.148; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2017-02-10 07:36:25.149; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/data/index [CachedDir<<refCount=0;path=/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/data/index;done=false>>]
INFO  - 2017-02-10 07:36:25.149; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/data/index
INFO  - 2017-02-10 07:36:25.150; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/data [CachedDir<<refCount=0;path=/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/data;done=false>>]
INFO  - 2017-02-10 07:36:25.150; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/data
INFO  - 2017-02-10 07:36:25.150; org.apache.solr.core.SolrCore; [mindliner_core_dev]  CLOSING SolrCore org.apache.solr.core.SolrCore@1612ba22
INFO  - 2017-02-10 07:36:25.151; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=19,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=11067,transaction_logs_total_number=10}
INFO  - 2017-02-10 07:36:25.151; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2017-02-10 07:36:25.152; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2017-02-10 07:36:25.152; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2017-02-10 07:36:25.159; org.apache.solr.core.SolrCore; [mindliner_core_dev] Closing main searcher on request.
INFO  - 2017-02-10 07:36:25.165; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2017-02-10 07:36:25.165; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/data [CachedDir<<refCount=0;path=/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/data;done=false>>]
INFO  - 2017-02-10 07:36:25.165; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/data
INFO  - 2017-02-10 07:36:25.166; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/data/index [CachedDir<<refCount=0;path=/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/data/index;done=false>>]
INFO  - 2017-02-10 07:36:25.166; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/data/index
INFO  - 2017-02-10 07:36:25.168; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr-webapp/webapp/},/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/webapps/solr.war
INFO  - 2017-08-01 12:27:12.592; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-08-01 12:27:12.623; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/contexts at interval 0
INFO  - 2017-08-01 12:27:12.659; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/contexts/solr-jetty-context.xml
INFO  - 2017-08-01 12:27:14.335; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-08-01 12:27:14.390; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-08-01 12:27:14.401; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-08-01 12:27:14.401; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-08-01 12:27:14.402; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-08-01 12:27:14.425; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2017-08-01 12:27:14.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2017-08-01 12:27:14.443; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/poi-3.10-beta2.jar' to classloader
INFO  - 2017-08-01 12:27:14.446; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-08-01 12:27:14.456; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2017-08-01 12:27:14.469; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/rome-0.9.jar' to classloader
INFO  - 2017-08-01 12:27:14.474; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-08-01 12:27:14.480; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-08-01 12:27:14.484; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2017-08-01 12:27:14.491; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-08-01 12:27:14.500; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/mysql-connector-java-5.1.22-bin.jar' to classloader
